kickX,kickZ,kickAngle,goalZ,Outcome,KickPleas,KickArou,GoalPleas,GoalArou
1.059699,0.076219,6,0.497612,G,1,0.680145,-1,-0.809975
1.093048,0.124832,33,0.404358,O,-0.756397,-0.366633,0.5,-0.473733
1.051487,0.070557,3,-0.453173,G,0.477832,0.785389,-1,-0.649189
1.048104,0.067717,3,0.297069,G,0.971992,0.810984,-1,-0.079928
1.095075,0.115954,30,0.44521,O,-0.70018,-0.220468,0.5,-0.619288
1.061799,0.08911,12,0.452874,G,1,0.491089,-1,-0.648817
1.093118,0.118908,30,0.399115,O,-0.700176,-0.220459,0.5,-0.451133
1.051978,-0.037687,-30,-0.452854,O,-0.622681,-0.018971,0.5,-0.646706
1.049792,0.040528,-6,-0.351332,G,1,0.846638,-1,-0.277815
1.096221,0.124802,33,0.0456,O,-0.752153,-0.355598,0.5,0.831963
1.044688,-0.010435,-21,0.449509,R,-0.4,0.386433,0.05056,-0.634327
1.044489,0.047503,-3,0.000973,D,-0.3,0.985456,1,0.998322
1.046091,-0.01909,-24,-0.400179,O,-0.550791,0.167944,0.5,-0.459072
1.042503,0.006064,-18,0.151103,G,0.905492,0.395775,-1,0.449167
1.140129,0.184138,36,0.196182,O,-0.722073,-0.277389,0.5,0.289311
1.053288,-0.054975,-36,0.397565,O,-0.696222,-0.210176,0.5,-0.449256
1.046184,-0.029914,-30,0.351388,O,-0.653077,-0.097999,0.5,-0.279953
1.043061,0.04378,-6,-0.352971,G,1,0.841206,-1,-0.283499
1.046788,-0.016935,-24,-0.20298,O,-0.586323,0.07556,0.5,0.260106
1.053522,0.064253,3,0.503863,G,1,0.815233,-1,-0.834059
1.049389,0.057352,-3,-0.152779,G,0.556478,0.874755,-1,0.443658
1.044499,0.02937,-9,-0.196407,G,0.942022,0.725595,-1,0.285068
1.048436,-0.035093,-30,0.349324,O,-0.657992,-0.110779,0.5,-0.273385
1.066613,0.099046,18,-0.201712,D,-0.3,0.309347,1,0.26747
1.048854,0.018382,-12,0.147389,G,0.581712,0.562261,-1,0.46588
1.082862,0.110613,27,0.299786,O,-0.574936,0.105166,0.5,-0.093041
1.081704,0.10792,24,0.304909,O,-0.626502,-0.028906,0.5,-0.109042
1.054921,0.071815,6,-0.045528,G,0.546522,0.681075,-1,0.83395
1.081371,0.110373,24,-0.395417,O,-0.563643,0.134528,0.5,-0.437199
1.047862,0.023129,-12,-0.297217,G,1,0.630797,-1,-0.080851
1.05497,-0.053336,-36,-0.054307,O,-0.690941,-0.196447,0.5,0.801671
1.102001,0.123027,33,-0.24817,O,-0.755228,-0.363594,0.5,0.099185
1.101699,0.129458,36,0.254405,O,-0.793876,-0.464079,0.5,0.075219
1.053024,0.071126,6,0.300356,G,1,0.727711,-1,-0.09058
1.043387,0.054445,-3,-0.345263,G,0.794861,0.947655,-1,-0.254858
1.040903,-0.001284,-18,0.200168,G,0.840498,0.380253,-1,0.274552
1.052604,0.076751,6,-0.15337,D,-0.3,0.760733,1,0.443667
1.088757,0.115586,30,-0.400719,O,-0.705427,-0.234111,0.5,-0.460792
1.041322,0.017168,-15,-0.502879,G,1,0.567831,-1,-0.827377
1.049977,-0.020121,-27,0.001342,O,-0.558153,0.148803,0.5,0.992241
1.102434,0.125986,36,-0.048689,O,-0.814488,-0.517668,0.5,0.824442
1.069165,0.087562,15,0.503786,G,1,0.385341,-1,-0.833919
1.065423,0.090534,15,0.297956,G,1,0.392168,-1,-0.084291
1.104317,0.126823,36,-0.252734,O,-0.823516,-0.541142,0.5,0.079383
1.064072,0.080943,12,-0.301698,G,0.410418,0.492857,-1,-0.097942
1.044245,0.009625,-15,0.447531,D,-0.3,0.550357,1,-0.627568
1.055266,0.071093,3,-0.403813,G,0.249502,0.721067,-1,-0.467941
1.045083,0.041348,-6,0.303856,G,0.374787,0.883529,-1,-0.104959
1.081665,0.112706,27,-0.345988,O,-0.63117,-0.041041,0.5,-0.260999
1.046726,-0.038818,-33,-0.504224,O,-0.708881,-0.243091,0.5,-0.823155
1.062867,0.090485,15,-0.200848,G,0.819054,0.390338,-1,0.272234
1.051683,0.053895,-3,-0.099239,G,0.36067,0.91873,-1,0.639764
1.047701,0.015904,-15,-0.004041,G,0.972592,0.517461,-1,0.986337
1.058679,0.08445,9,-0.254231,G,0.408199,0.541593,-1,0.075246
1.072041,0.100174,21,-0.495401,O,-0.56738,0.124811,0.5,-0.800808
1.045542,-0.020164,-27,-0.003286,O,-0.600083,0.039784,0.5,0.989127
1.042792,-0.026818,-27,-0.053819,O,-0.612808,0.006699,0.5,0.806919
1.094927,0.122026,33,-0.146575,O,-0.757807,-0.370298,0.5,0.469682
1.075468,0.103374,21,0.395109,O,-0.553995,0.159612,0.5,-0.437065
1.047679,0.013151,-15,0.299223,G,0.358099,0.522187,-1,-0.086412
1.043499,0.002837,-18,0.299171,G,0.62538,0.388585,-1,-0.086274
1.047183,0.048208,-3,-0.099533,G,0.323353,0.937895,-1,0.637923
1.043165,-0.004403,-21,-0.251073,R,-0.4,0.304358,0.7512,0.086545
1.011838,0.042439,-24,0.102374,R,-0.4,0.237878,0.602629,0.626805
1.048589,-0.003924,-21,-0.35484,O,-0.562656,0.137094,0.5,-0.28868
1.048176,0.004557,-18,-0.448989,R,-0.4,0.258797,0.051068,-0.63248
1.019567,0.082098,-12,-0.1021,G,0.917485,0.643581,-1,0.627914
1.095477,0.174556,27,-0.054446,O,-0.644083,-0.074617,0.5,0.798885
1.048188,-0.034247,-30,-0.098777,O,-0.636938,-0.056039,0.5,0.644055
1.043349,0.012152,-15,-0.354392,G,1,0.400617,-1,-0.28891
1.049195,0.032673,-9,0.201089,D,-0.3,0.76193,1,0.267705
1.094178,0.123165,33,0.149621,O,-0.760329,-0.376854,0.5,0.455398
1.097684,0.179263,27,0.000628,O,-0.660311,-0.116808,0.5,0.994776
1.058774,0.071803,6,-0.403902,G,0.283332,0.73783,-1,-0.468495
1.080128,0.11061,24,0.354924,O,-0.556632,0.152758,0.5,-0.289267
1.048956,-0.018364,-24,0.502355,R,-0.4,0.240453,1.003938,-0.8325
1.050793,-0.0309,-30,-0.146359,O,-0.652526,-0.096569,0.5,0.46808
1.079064,0.096771,21,0.095427,O,-0.561666,0.139668,0.5,0.65127
1.066146,0.084441,12,-0.096794,G,0.758389,0.524719,-1,0.650595
1.050656,-0.0519,-36,-0.450876,O,-0.704153,-0.230799,0.5,-0.64004
1.047717,0.038981,-6,0.05084,G,0.339242,0.779589,-1,0.815307
1.058559,0.088786,15,0.496845,G,1,0.387219,-1,-0.806646
1.094755,0.117371,33,-0.2534,O,-0.746984,-0.342157,0.5,0.078009
1.049694,0.069016,3,0.147414,G,0.753336,0.770725,-1,0.464025
1.049742,0.039027,-6,-0.352548,G,1,0.775396,-1,-0.285298
1.041324,-0.006839,-21,0.000112,R,-0.4,0.316481,0.499171,0.996986
1.009536,0.050684,-21,-0.497598,O,-0.587634,0.072152,0.5,-0.812937
1.048385,-0.010675,-24,0.300615,R,-0.4,0.314328,0.200014,-0.090857
1.010737,0.042884,-24,-0.048406,O,-0.544742,0.18367,0.5,0.824078
1.072388,0.098709,21,-0.446498,O,-0.594323,0.054761,0.5,-0.624933
1.062308,0.094053,15,-0.404116,G,0.398199,0.396721,-1,-0.469743
1.058683,-0.048979,-36,-0.301656,O,-0.710656,-0.247705,0.5,-0.097093
1.043358,-0.023376,-27,0.003168,O,-0.581435,0.08827,0.5,0.988389
1.078247,0.102696,24,-0.396101,D,-0.3,0.291322,1,-0.440978
1.057826,0.084225,9,0.149287,G,1,0.571989,-1,0.458606
1.099366,0.123975,33,-0.045733,O,-0.761802,-0.380684,0.5,0.833196
1.093876,0.121561,33,-0.499061,O,-0.758675,-0.372554,0.5,-0.815788
1.052576,-0.028802,-30,0.051299,O,-0.636484,-0.054858,0.5,0.813375
1.068049,0.08775,15,0.399186,G,1,0.411539,-1,-0.455438
1.07115,0.098214,18,-0.201647,O,-0.590596,0.064451,0.5,0.263985
1.107787,0.124226,36,0.447656,O,-0.820045,-0.532116,0.5,-0.628311
1.052734,0.060859,0,0.295359,G,0.719808,0.935557,-1,-0.074403
1.047728,-0.045135,-33,-0.198694,O,-0.703413,-0.228873,0.5,0.276907
1.05091,0.058765,0,-0.100563,D,-0.3,0.923866,1,0.634951
1.095054,0.122833,33,0.003885,O,-0.762701,-0.383022,0.5,0.985701
1.104278,0.122951,36,0.004917,O,-0.80627,-0.496302,0.5,0.981776
1.079655,0.104933,24,0.351153,O,-0.611007,0.011381,0.5,-0.278999
1.047552,0.011761,-15,0.254739,G,0.451281,0.519588,-1,0.073558
1.075206,0.105394,24,-0.348823,O,-0.640799,-0.066077,0.5,-0.268406
1.049006,-0.021335,-27,-0.002191,O,-0.572767,0.110806,0.5,0.989859
1.045533,0.027247,-12,-0.503588,G,1,0.653683,-1,-0.833329
1.097633,0.117904,33,0.253699,O,-0.746119,-0.33991,0.5,0.079221
1.073219,0.105121,21,0.204477,O,-0.559194,0.146095,0.5,0.259412
1.048928,0.034937,-9,-0.39768,G,1,0.769803,-1,-0.44797
1.058668,0.08258,12,0.396582,G,1,0.515773,-1,-0.444545
1.050561,0.03324,-9,-0.397987,G,1,0.858003,-1,-0.44727
1.042509,-0.006362,-21,-0.346531,R,-0.4,0.36139,0.846956,-0.261659
1.083977,0.10978,27,0.445084,O,-0.66068,-0.117767,0.5,-0.620127
1.050594,-0.045164,-33,-0.102681,O,-0.695557,-0.208449,0.5,0.624039
1.106173,0.121125,36,0.501984,O,-0.794074,-0.464591,0.5,-0.826173
1.042187,0.014661,-15,-0.054721,G,1,0.510129,-1,0.801391
1.04961,0.058452,0,0.250842,G,0.59427,0.953568,-1,0.088353
1.017266,0.067954,-15,-0.053462,R,-0.4,0.380313,0.553413,0.805771
1.038584,0.129797,3,-0.304631,G,0.298122,0.844525,-1,-0.107402
1.046148,0.065809,0.000000,-0.499012,G,0.929748,0.965515,-0.464874,-0.815849
1.064132,0.080832,10.000000,-0.051078,G,0.777174,0.559711,-0.388587,0.811991
1.089158,0.108725,28.000000,-0.298108,O,-0.675019,-0.155048,0.798042,-0.083790
1.092820,0.170593,24.000000,0.197286,O,-0.596596,0.048851,0.302785,0.282856
1.068187,0.088680,14.000000,0.195037,G,1.000000,0.434104,-0.761029,0.290424
1.078495,0.107978,22.000000,-0.200507,O,-0.564087,0.133374,0.699848,0.273281
1.049769,-0.044957,-34.000000,-0.503452,O,-0.697109,-0.212484,-0.003273,-0.830084
1.074130,0.100893,20.000000,0.401011,L,-0.400000,0.244078,0.099382,-0.456792
1.073856,0.159018,14.000000,-0.097154,L,-0.400000,0.388019,0.597387,0.645864
1.102052,0.117874,34.000000,0.454629,O,-0.749923,-0.349800,0.045736,-0.651868
1.040406,-0.003573,-20.000000,0.096298,R,-0.400000,0.377288,0.596698,0.648371
1.076046,0.099712,22.000000,-0.446003,O,-0.572081,0.112590,0.945678,-0.620647
1.054162,-0.042740,-34.000000,-0.204121,O,-0.732653,-0.304898,0.296004,0.258196
1.082721,0.108067,24.000000,-0.254723,O,-0.624874,-0.024673,0.755221,0.071923
1.042949,0.007442,-16.000000,-0.402736,G,1.000000,0.472856,-0.929661,-0.463698
1.047406,0.057066,-2.000000,0.298143,G,0.531193,0.966774,-0.265597,-0.086628
1.042191,0.038916,-8.000000,-0.149866,G,0.775442,0.761182,-0.387721,0.458533
1.053797,0.057505,0.000000,0.247607,G,0.664353,0.915602,-0.332176,0.098989
1.039331,-0.012823,-22.000000,0.495559,O,-0.547780,0.175771,0.996325,-0.804817
1.046863,-0.005341,-22.000000,-0.099597,R,-0.400000,0.251093,0.400323,0.637538
1.100165,0.129007,36.000000,-0.097381,O,-0.802507,-0.486519,0.597204,0.646530
1.048958,-0.018954,-26.000000,-0.152859,O,-0.592411,0.059731,0.346627,0.442281
1.047197,0.040282,-8.000000,-0.197074,G,0.743547,0.825375,-0.371773,0.283096
1.040885,0.014581,-14.000000,0.251025,G,0.432631,0.532639,-0.216316,0.087109
1.044688,-0.000938,-18.000000,0.298116,G,0.600298,0.401630,-0.300149,-0.084438
1.054103,-0.033836,-30.000000,-0.354495,O,-0.638354,-0.059720,0.145375,-0.289546
1.075449,0.108233,24.000000,0.047075,O,-0.587678,0.072038,0.453050,0.829271
1.054611,0.063884,0.000000,0.302688,G,0.795259,0.905112,-0.397629,-0.100878
1.076292,0.103779,22.000000,-0.002965,L,-0.400000,0.265788,0.502489,0.990950
1.057786,0.148006,10.000000,0.103173,G,1.000000,0.594114,-0.509095,0.624695
1.048554,-0.013279,-24.000000,0.403850,O,-0.550261,0.169321,0.904145,-0.469618
1.047298,-0.006559,-20.000000,0.297404,R,-0.400000,0.381601,0.797283,-0.081028
1.049993,-0.019869,-24.000000,0.396769,R,-0.400000,0.224790,0.897229,-0.444470
1.042367,0.003503,-18.000000,-0.504220,G,1.000000,0.424446,-1.000000,-0.835182
1.100126,0.124319,36.000000,-0.098252,O,-0.827393,-0.551221,0.599772,0.637194
1.060578,0.090209,14.000000,0.154593,G,1.000000,0.434888,-0.718959,0.440555
1.046595,0.009940,-16.000000,-0.198337,G,1.000000,0.509631,-0.689436,0.276120
1.042322,-0.022632,-26.000000,-0.496616,O,-0.576035,0.102310,0.003605,-0.805071
1.051625,0.047428,-6.000000,0.250795,G,0.244930,0.871507,-0.122465,0.087428
1.047402,0.005221,-16.000000,-0.002022,G,0.973268,0.515445,-0.486634,0.992440
1.041916,-0.006178,-20.000000,-0.001687,R,-0.400000,0.260597,0.498665,0.995147
0.998576,0.002921,-34.000000,0.298814,O,-0.723689,-0.281592,0.798251,-0.084550
1.038869,0.002753,-18.000000,0.252475,R,-0.400000,0.353937,0.752698,0.081098
1.009774,0.035604,-26.000000,-0.203013,O,-0.624374,-0.023372,0.296716,0.260787
1.053759,0.070528,6.000000,-0.347149,D,-0.300000,0.746045,1.000000,-0.263767
1.071714,0.103895,20.000000,0.445590,L,-0.400000,0.284859,0.054529,-0.619894
1.047095,0.138574,6.000000,-0.149272,G,0.347202,0.676961,-0.173601,0.456588
1.070049,0.103289,20.000000,-0.502489,L,-0.400000,0.248510,1.002300,-0.826545
1.036793,0.135276,2.000000,-0.445653,G,0.648138,0.878225,-0.324069,-0.621251
1.052232,0.052555,-2.000000,0.403202,G,0.810245,0.998022,-0.405123,-0.465979
1.046599,-0.031420,-28.000000,-0.502473,O,-0.585703,0.077173,-0.002509,-0.827306
1.076974,0.104279,20.000000,0.250769,O,-0.566356,0.127474,0.248911,0.086948
1.099737,0.119443,34.000000,-0.152840,O,-0.762216,-0.381763,0.652947,0.443830
1.050912,0.058832,-2.000000,0.198046,G,0.298503,0.951966,-0.149252,0.282598
1.049125,-0.044048,-34.000000,0.246766,O,-0.717730,-0.266098,0.747036,0.101687
1.049300,-0.009368,-22.000000,0.403205,R,-0.400000,0.306380,0.903614,-0.467687
1.053328,0.147321,10.000000,0.202027,G,1.000000,0.556921,-0.645497,0.263935
1.044836,0.039846,-6.000000,-0.354963,G,1.000000,0.825875,-0.529313,-0.291592
1.041052,0.002653,-20.000000,0.148934,R,-0.400000,0.382659,0.648701,0.459270
1.043456,-0.022154,-28.000000,-0.102464,O,-0.658185,-0.111280,0.397475,0.627182
1.051670,0.066840,2.000000,-0.200916,D,-0.300000,0.838798,1.000000,0.269165
1.070443,0.098025,20.000000,-0.449901,L,-0.400000,0.238303,0.949875,-0.635908
1.003375,-0.000363,-34.000000,-0.097718,O,-0.714709,-0.258242,0.402128,0.644103
1.050428,-0.012686,-22.000000,0.301023,R,-0.400000,0.243054,0.800703,-0.093465
1.029075,0.116245,-4.000000,-0.048175,D,-0.300000,0.938056,1.000000,0.824254
1.050281,0.047325,-4.000000,0.452532,G,0.255720,0.675371,-0.127860,-0.645416
1.047603,0.008330,-16.000000,-0.097131,G,1.000000,0.463905,-0.633048,0.647445
1.060480,0.087660,14.000000,0.346057,G,1.000000,0.425882,-0.920265,-0.258715
1.040602,-0.007291,-20.000000,-0.153863,R,-0.400000,0.345958,0.345750,0.439091
1.005080,0.017549,-28.000000,-0.349428,O,-0.607546,0.020381,0.150540,-0.270763
1.076032,0.102096,24.000000,0.302743,O,-0.598337,0.044325,0.197248,-0.100918
1.048780,-0.043058,-32.000000,-0.047146,O,-0.672428,-0.148313,0.452931,0.828841
1.044343,-0.029583,-28.000000,-0.399804,O,-0.598171,0.044756,0.100172,-0.453919
1.088065,0.113320,28.000000,0.245538,O,-0.691924,-0.199003,0.253868,0.104974
1.064558,0.099760,18.000000,0.004790,L,-0.400000,0.373298,0.495007,0.981844
1.082359,0.117927,28.000000,0.200587,O,-0.664475,-0.127635,0.299011,0.269131
1.043924,-0.011218,-24.000000,0.448784,O,-0.550247,0.169357,0.947636,-0.627769
1.062551,0.082808,12.000000,0.199980,G,1.000000,0.492197,-0.708605,0.269810
1.079542,0.105402,22.000000,-0.497680,O,-0.559833,0.144435,0.997850,-0.810365
1.056152,0.072240,4.000000,0.495438,G,1.000000,0.859607,-0.635685,-0.801063
1.041973,-0.007584,-20.000000,-0.349897,R,-0.400000,0.334067,0.149701,-0.273815
1.021709,0.097231,-8.000000,0.154050,D,-0.300000,0.766402,1.000000,0.440104
1.043330,-0.020647,-26.000000,0.303452,O,-0.623159,-0.020214,0.803375,-0.103182
1.048767,0.008398,-16.000000,0.445980,D,-0.300000,0.525362,1.000000,-0.623388
1.047111,0.044021,-6.000000,0.498350,G,0.722896,0.863245,-0.361448,-0.811646
1.062824,0.082769,12.000000,0.445303,G,1.000000,0.633318,-0.812364,-0.620663
1.008749,0.033094,-26.000000,-0.399942,O,-0.632223,-0.043781,0.100740,-0.451856
1.096423,0.127766,34.000000,-0.454394,O,-0.758618,-0.372407,0.954439,-0.652505
1.047965,-0.042172,-32.000000,-0.496857,O,-0.661656,-0.120306,0.003869,-0.804112
1.017236,0.111363,-4.000000,-0.196518,G,0.629669,0.881078,-0.314835,0.287592
1.053903,0.072943,6.000000,-0.348145,G,0.305981,0.804627,-0.152991,-0.266776
1.056488,-0.049575,-36.000000,-0.500109,O,-0.766180,-0.392069,0.000013,-0.818133
1.054465,0.065242,0.000000,0.351138,G,0.730345,0.985839,-0.365172,-0.276406
1.046273,-0.035124,-32.000000,0.349282,O,-0.677403,-0.161249,0.849593,-0.271249
1.081982,0.114615,28.000000,-0.398310,O,-0.647044,-0.082315,0.898672,-0.449718
1.069673,0.102476,20.000000,-0.352303,L,-0.400000,0.232977,0.852273,-0.280992
1.054174,-0.036536,-30.000000,-0.397167,O,-0.679368,-0.166358,0.102852,-0.444175
1.076752,0.106119,24.000000,-0.498096,O,-0.594257,0.054932,0.998318,-0.812064
